id,name,position,minutes,starts,chance_next,influence,creativity,threat,ict,bps,cost,clean_sheets,goals_conceded,xGC,saves
1,Raya,1,3330,37,0,541.6,33.5,0.0,57.5,633,62,19,26,27.56,60
2,Arrizabalaga,1,90,1,0,19.8,0.0,0.0,2.0,11,40,0,1,0.98,2
3,Hein,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
4,Setford,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
32,Martinez,1,2835,32,100,769.8,23.2,0.0,79.2,530,50,7,39,42.92,95
33,M.Bizot,1,585,6,100,139.2,0.0,0.0,13.9,75,42,1,10,11.02,19
34,Gauci,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
35,Marschall,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
688,Wright,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
703,Proctor,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
757,Hollingshead,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
183,Weiss,1,270,3,0,76.8,10.0,0.0,8.7,39,42,0,4,4.82,10
184,Green,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
185,Hladký,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
470,Dúbravka,1,3150,35,100,976.4,0.0,0.0,97.9,436,40,4,71,71.26,127
66,Neto,1,0,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0
67,Petrović,1,3420,38,0,822.6,0.0,0.0,82.4,512,46,11,54,56.72,109
68,Dennis,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
69,McKenna,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
70,Paulsen,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
782,Forster,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
806,Mandas,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
101,Kelleher,1,3330,37,100,913.8,23.0,0.0,93.8,570,48,10,49,53.48,109
102,Balcombe,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
103,Cox,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
104,Eyestone,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
105,Valdimarsson,1,90,1,0,13.0,0.0,0.0,1.3,1,38,0,3,0.97,1
138,Steele,1,0,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0.0,0
139,Verbruggen,1,3420,38,0,935.0,10.0,0.0,94.7,616,46,10,46,49.06,106
140,McGill,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
141,Rushworth,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
142,Scherpen,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
220,Sánchez,1,3040,35,100,822.2,50.0,0.0,86.7,509,48,9,49,48.64,98
221,Jörgensen,1,378,3,100,79.8,0.0,0.0,7.9,50,43,0,5,4.12,8
222,Penders,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
223,Slonina,1,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0,0
789,Merrick,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
803,Sharman-Lowe,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
253,Henderson,1,3330,37,0,837.8,10.0,0.0,84.7,538,51,11,51,51.4,106
254,Benitez,1,90,1,100,22.8,0.0,0.0,2.3,29,39,1,0,1.12,3
255,Matthews,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
287,Pickford,1,3420,38,0,885.2,20.3,2.0,90.8,545,56,11,50,56.24,100
288,Travers,1,0,0,100,0.0,0.0,0.0,0.0,0,42,0,0,0.0,0
289,Tyrer,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
630,King,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
314,Leno,1,3420,38,0,816.2,0.0,0.0,81.5,556,50,9,51,52.73,98
315,Benda,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
664,Lecomte,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
786,McNally,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
339,Meslier,1,0,0,0,0.0,0.0,0.0,0.0,0,41,0,0,0.0,0
340,Cairns,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
341,Darlow,1,1980,22,0,531.4,0.0,0.0,53.4,334,40,5,27,28.36,63
665,Perri,1,1440,16,100,322.4,0.0,0.0,32.2,153,44,3,29,26.68,38
366,A.Becker,1,2340,26,100,479.8,0.1,0.0,47.8,389,54,8,31,29.58,57
367,Mamardashvili,1,867,10,100,275.6,0.0,0.0,27.5,139,41,2,18,13.29,34
368,Pécsi,1,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0,0
369,Woodman,1,212,2,0,83.8,0.0,0.0,8.4,34,39,0,4,4.76,9
182,Trafford,1,360,4,0,118.0,0.0,0.0,11.9,67,45,1,6,5.74,14
399,Ederson M.,1,0,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0.0,0
401,Bettinelli,1,0,0,100,0.0,0.0,0.0,0.0,0,38,0,0,0.0,0
736,Donnarumma,1,3060,34,0,666.6,10.3,2.0,68.0,567,56,15,29,38.5,78
431,Bayindir,1,540,6,0,118.4,10.0,0.0,12.8,49,47,0,11,9.24,13
432,Onana,1,0,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0.0,0
433,Harrison,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
434,Heaton,1,0,0,0,0.0,0.0,0.0,0.0,0,38,0,0,0.0,0
435,Mee,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
733,Lammens,1,2880,32,0,635.6,0.0,2.0,63.7,413,51,8,39,39.25,79
469,Pope,1,2416,27,100,671.0,0.0,35.0,70.7,414,50,7,38,32.89,89
471,Gillespie,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
472,Odysseas,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
674,Ramsdale,1,1003,11,0,212.8,10.0,0.0,22.3,107,48,1,17,18.83,25
753,Ruddy,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
400,Ortega Moreno,1,270,3,100,68.6,0.0,0.0,6.9,38,47,1,4,4.65,8
502,Sels,1,2667,30,100,730.0,10.0,0.0,74.0,431,46,7,39,45.12,95
503,C.Miguel,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
504,Turner,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
675,Gunn,1,45,0,100,1.2,0.0,0.0,0.1,4,40,0,0,0.21,0
715,John,1,437,5,100,56.4,0.0,0.0,5.7,32,40,1,8,6.13,6
528,Patterson,1,0,0,0,0.0,0.0,0.0,0.0,0,42,0,0,0.0,0
529,Moore,1,0,0,100,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
530,Nna Noukeu,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
670,Roefs,1,3150,35,100,881.6,50.0,0.0,93.1,573,48,10,46,50.05,109
812,Ellborg,1,270,3,0,73.6,0.0,0.0,7.4,62,40,1,2,4.1,10
565,Vicario,1,2790,31,100,709.2,10.1,0.0,72.2,412,47,7,50,46.21,83
566,Austin,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
567,Kinsky,1,630,7,0,102.6,0.0,0.0,10.3,76,39,2,7,5.55,10
600,Areola,1,1800,20,100,570.4,10.0,0.0,57.9,220,42,0,37,35.3,77
601,Foderingham,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
602,Hegyi,1,0,0,0,0.0,0.0,0.0,0.0,0,39,0,0,0.0,0
679,Hermansen,1,1620,18,0,422.0,20.0,0.0,44.2,282,42,7,28,23.98,55
738,Fabianski,1,0,0,100,0.0,0.0,0.0,0.0,0,45,0,0,0.0,0
825,Herrick,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
627,Johnstone,1,1080,12,100,308.0,0.1,0.0,30.8,117,44,0,24,18.59,39
628,José Sá,1,2070,23,100,514.2,10.0,0.0,52.8,303,42,4,37,35.24,65
629,Bentley,1,270,3,100,65.4,0.0,0.0,6.5,24,39,0,7,5.1,7
828,Brooks,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
831,Gracey,1,0,0,0,0.0,0.0,0.0,0.0,0,40,0,0,0.0,0
